               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075455,            0.042634,            0.016933,             0.68769,             0.61297,             0.65158,             0.31344,              0.0474,            0.018158,           0.0096949,            0.070043,           0.0033285,           0.0033285
                   1,            0.058763,            0.039408,           0.0041898,              0.7906,             0.70316,              0.7688,             0.43242,             0.04172,            0.017839,           0.0031216,            0.039911,             0.00653,             0.00653
                   2,            0.055268,            0.039299,           0.0030416,             0.79751,             0.69226,             0.76485,             0.42837,            0.040348,             0.01818,           0.0040061,           0.0096475,           0.0095994,           0.0095994
                   3,            0.053458,            0.040161,           0.0026027,             0.80984,             0.70962,             0.79171,             0.45734,            0.039178,            0.018082,           0.0017066,            0.009406,            0.009406,            0.009406
                   4,            0.051241,            0.039907,           0.0021071,             0.84355,             0.71765,             0.80739,             0.47741,             0.03744,            0.017891,           0.0019322,            0.009406,            0.009406,            0.009406
                   5,            0.049606,               0.039,           0.0018453,             0.84466,             0.71199,             0.80955,             0.49255,            0.038396,            0.017411,           0.0020577,            0.009208,            0.009208,            0.009208
                   6,            0.048476,            0.038415,           0.0015921,             0.83552,             0.74838,             0.82685,             0.50683,            0.036548,            0.017267,           0.0012428,             0.00901,             0.00901,             0.00901
                   7,            0.047715,            0.037762,           0.0014174,             0.84491,             0.73936,             0.82811,             0.50595,            0.036724,            0.017306,           0.0014552,            0.008812,            0.008812,            0.008812
                   8,            0.047161,            0.037491,            0.001152,             0.86156,             0.73582,             0.83036,             0.51265,            0.036661,            0.017137,           0.0016995,            0.008614,            0.008614,            0.008614
                   9,            0.046657,            0.037239,            0.001072,             0.85638,             0.74809,             0.84045,             0.52306,            0.036002,            0.017006,          0.00097531,            0.008416,            0.008416,            0.008416
                  10,            0.046199,            0.037045,          0.00099439,             0.86952,             0.73971,             0.83501,             0.52537,            0.035556,            0.017228,          0.00069722,            0.008218,            0.008218,            0.008218
                  11,               0.046,            0.036925,           0.0010279,             0.86825,             0.76883,             0.85033,             0.53636,            0.034975,            0.016786,          0.00074915,             0.00802,             0.00802,             0.00802
                  12,            0.045396,            0.036507,          0.00094033,             0.85413,             0.76532,             0.84882,             0.53858,            0.035321,            0.016804,          0.00069264,            0.007822,            0.007822,            0.007822
                  13,            0.045046,            0.036371,          0.00088697,             0.87049,             0.76239,             0.84743,             0.54167,            0.035532,            0.016743,          0.00086513,            0.007624,            0.007624,            0.007624
                  14,            0.044626,            0.035994,          0.00080958,             0.85758,             0.76794,             0.84674,              0.5415,            0.034973,            0.016887,          0.00063072,            0.007426,            0.007426,            0.007426
                  15,            0.044009,            0.035861,          0.00079016,             0.86865,              0.7713,             0.85662,              0.5482,            0.034715,            0.016607,          0.00087467,            0.007228,            0.007228,            0.007228
                  16,             0.04418,            0.035946,          0.00080604,             0.87164,             0.77711,             0.85928,              0.5486,            0.034515,            0.016464,          0.00064361,             0.00703,             0.00703,             0.00703
                  17,            0.043842,            0.035252,          0.00081815,              0.8685,             0.77095,             0.85458,             0.55764,            0.034503,            0.016677,           0.0010888,            0.006832,            0.006832,            0.006832
                  18,            0.043583,            0.035489,          0.00074788,             0.87156,             0.76979,             0.85732,             0.55188,             0.03467,            0.016719,          0.00085834,            0.006634,            0.006634,            0.006634
                  19,            0.043231,             0.03522,            0.000697,             0.85863,             0.76966,             0.84948,             0.55603,            0.034525,            0.016744,           0.0010045,            0.006436,            0.006436,            0.006436
                  20,            0.043164,            0.035144,           0.0007581,             0.88694,             0.76632,             0.85499,             0.55614,            0.034436,            0.016643,           0.0008861,            0.006238,            0.006238,            0.006238
                  21,            0.042696,            0.034432,          0.00064464,             0.87313,             0.77078,             0.85739,             0.56518,            0.033855,             0.01645,          0.00085855,             0.00604,             0.00604,             0.00604
                  22,            0.042417,            0.034666,          0.00059017,             0.88293,             0.76864,             0.85647,             0.56703,            0.033723,            0.016296,          0.00094626,            0.005842,            0.005842,            0.005842
                  23,            0.042196,            0.034151,          0.00061093,             0.89642,             0.77477,             0.86476,             0.57609,            0.033335,            0.016525,          0.00060235,            0.005644,            0.005644,            0.005644
                  24,            0.041898,             0.03377,          0.00054266,             0.89516,             0.77311,             0.86302,             0.57472,            0.033444,            0.016449,          0.00066558,            0.005446,            0.005446,            0.005446
                  25,            0.041828,            0.033695,          0.00049464,             0.90481,             0.77125,             0.86016,             0.57639,            0.033469,             0.01629,           0.0006773,            0.005248,            0.005248,            0.005248
                  26,            0.041561,             0.03397,           0.0004991,             0.90159,             0.78187,             0.86454,             0.57563,            0.033415,            0.016296,          0.00072769,             0.00505,             0.00505,             0.00505
                  27,            0.041253,            0.033563,          0.00051331,             0.88031,             0.78031,             0.86763,             0.57761,            0.033107,            0.016277,           0.0007999,            0.004852,            0.004852,            0.004852
                  28,            0.040737,            0.033157,           0.0004515,              0.8972,             0.77711,             0.86668,             0.58176,            0.032784,            0.016117,          0.00078508,            0.004654,            0.004654,            0.004654
                  29,            0.040575,            0.032825,           0.0004055,             0.89701,             0.77029,             0.86771,             0.58276,            0.032742,            0.016202,          0.00065663,            0.004456,            0.004456,            0.004456
                  30,            0.040327,            0.032734,          0.00044646,              0.8874,             0.77326,             0.85889,             0.57592,            0.033206,            0.016485,          0.00069164,            0.004258,            0.004258,            0.004258
                  31,             0.04023,            0.032604,          0.00036411,              0.8769,             0.79022,             0.86662,             0.58562,            0.032889,             0.01633,          0.00053423,             0.00406,             0.00406,             0.00406
                  32,             0.04008,            0.032421,          0.00035312,              0.8782,             0.77871,             0.86368,             0.58666,            0.032606,            0.016244,          0.00062398,            0.003862,            0.003862,            0.003862
                  33,            0.039997,            0.032422,          0.00037122,             0.89231,             0.77641,             0.86247,             0.58041,            0.032671,            0.016517,          0.00061664,            0.003664,            0.003664,            0.003664
                  34,            0.039528,            0.032074,          0.00032969,             0.88201,             0.79071,             0.86749,             0.58284,            0.032799,            0.016451,          0.00065124,            0.003466,            0.003466,            0.003466
                  35,            0.039369,            0.031974,          0.00030235,             0.89419,             0.78089,             0.86605,             0.59004,            0.032541,            0.016325,          0.00077489,            0.003268,            0.003268,            0.003268
                  36,            0.039079,            0.031636,          0.00026152,             0.88493,             0.79027,              0.8692,              0.5872,            0.032633,            0.016258,          0.00085261,             0.00307,             0.00307,             0.00307
                  37,            0.038644,            0.031502,          0.00026593,             0.89055,             0.77988,             0.86627,              0.5858,            0.032778,            0.016334,          0.00084742,            0.002872,            0.002872,            0.002872
                  38,            0.038822,            0.031597,           0.0002536,             0.90071,             0.77999,             0.87071,              0.5911,            0.032605,            0.016257,          0.00057611,            0.002674,            0.002674,            0.002674
                  39,            0.038572,            0.030934,          0.00024308,             0.90478,             0.78093,             0.86766,              0.5923,            0.032669,            0.016425,          0.00066178,            0.002476,            0.002476,            0.002476
                  40,            0.038456,            0.031195,          0.00023932,             0.89902,             0.77666,             0.86595,             0.59286,            0.032697,            0.016354,          0.00064231,            0.002278,            0.002278,            0.002278
                  41,             0.03809,            0.030878,          0.00022688,             0.90473,             0.77301,              0.8644,             0.59529,            0.032336,            0.016403,          0.00060897,             0.00208,             0.00208,             0.00208
                  42,            0.038055,            0.030763,          0.00026835,             0.90502,             0.77448,              0.8655,             0.59481,            0.032314,            0.016499,          0.00074995,            0.001882,            0.001882,            0.001882
                  43,            0.037631,            0.030101,           0.0002158,             0.90862,             0.77245,             0.86496,             0.59492,            0.032386,             0.01651,          0.00077841,            0.001684,            0.001684,            0.001684
                  44,            0.038154,            0.031215,          0.00034548,             0.88486,             0.79598,             0.86758,             0.59767,            0.032073,            0.016274,          0.00074132,            0.001486,            0.001486,            0.001486
                  45,            0.037974,            0.030846,          0.00031475,             0.88451,             0.79581,             0.87251,             0.60113,            0.032027,            0.016295,          0.00064839,            0.001288,            0.001288,            0.001288
                  46,            0.037884,            0.030866,          0.00028355,             0.88742,             0.79149,             0.86958,             0.59979,            0.032082,            0.016372,          0.00064418,             0.00109,             0.00109,             0.00109
                  47,            0.037723,            0.030574,          0.00027849,             0.89406,             0.78163,             0.86886,             0.60089,            0.032182,            0.016397,          0.00068967,            0.000892,            0.000892,            0.000892
                  48,            0.037418,            0.030488,          0.00029523,             0.89704,             0.78316,             0.86841,             0.60113,            0.032212,            0.016433,          0.00073778,            0.000694,            0.000694,            0.000694
                  49,            0.037596,             0.03064,          0.00024047,               0.897,             0.78546,             0.86894,             0.60181,            0.032112,            0.016356,          0.00071814,            0.000496,            0.000496,            0.000496
