               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071095,            0.036611,            0.013183,             0.72391,             0.55013,               0.606,             0.32622,            0.047484,            0.019511,           0.0075234,             0.07002,           0.0033311,           0.0033311
                   1,             0.05731,            0.034813,           0.0035242,             0.74148,             0.57884,             0.63001,             0.34011,            0.046029,            0.019683,           0.0053428,            0.039888,           0.0065325,           0.0065325
                   2,            0.055478,            0.035493,            0.003112,             0.69756,             0.57702,             0.60675,             0.32521,            0.047292,            0.020619,            0.006709,            0.009624,           0.0096019,           0.0096019
                   3,            0.054555,            0.035723,           0.0029559,             0.72073,             0.53672,             0.60536,             0.33123,            0.046308,             0.02034,           0.0081592,            0.009406,            0.009406,            0.009406
                   4,            0.052803,            0.035134,           0.0021699,             0.76401,             0.56851,             0.64773,             0.36648,            0.045571,            0.019967,           0.0053686,            0.009406,            0.009406,            0.009406
                   5,            0.051563,             0.03471,           0.0019539,             0.77495,             0.58305,             0.65723,             0.37738,            0.044492,            0.019781,           0.0053216,            0.009208,            0.009208,            0.009208
                   6,            0.051097,            0.034261,           0.0016632,             0.78648,             0.56842,             0.65808,             0.38539,             0.04385,            0.019456,           0.0058467,             0.00901,             0.00901,             0.00901
                   7,            0.050301,            0.034185,           0.0015386,             0.77237,             0.59828,              0.6662,             0.38966,            0.043648,            0.019212,           0.0053387,            0.008812,            0.008812,            0.008812
                   8,            0.049862,            0.033864,            0.001421,             0.78666,              0.6076,             0.67966,             0.39874,            0.043016,            0.019053,           0.0043911,            0.008614,            0.008614,            0.008614
                   9,            0.049326,            0.033585,           0.0012786,             0.78157,             0.59998,             0.68059,             0.40231,            0.042712,            0.018938,           0.0044655,            0.008416,            0.008416,            0.008416
                  10,            0.048998,             0.03331,           0.0013382,             0.79056,             0.60853,             0.68631,             0.41092,             0.04233,            0.019109,           0.0035546,            0.008218,            0.008218,            0.008218
                  11,            0.048684,             0.03343,           0.0012196,             0.79674,             0.62561,             0.69976,                0.42,            0.042166,            0.018652,           0.0038421,             0.00802,             0.00802,             0.00802
                  12,            0.048324,            0.033052,           0.0010903,             0.78823,             0.62491,              0.6998,             0.41977,            0.041627,            0.018738,           0.0035564,            0.007822,            0.007822,            0.007822
                  13,            0.047901,            0.032638,           0.0010938,             0.79323,             0.62773,             0.70893,             0.42491,            0.041543,             0.01852,           0.0038913,            0.007624,            0.007624,            0.007624
                  14,            0.047647,            0.032661,          0.00097353,             0.78179,             0.62429,             0.70105,             0.42634,            0.041112,            0.018515,           0.0045819,            0.007426,            0.007426,            0.007426
                  15,            0.047464,            0.032627,          0.00096535,              0.8114,             0.63626,             0.71964,             0.43748,            0.040796,            0.018314,           0.0033825,            0.007228,            0.007228,            0.007228
                  16,            0.047139,            0.032154,          0.00093507,             0.79986,             0.64146,              0.7165,             0.43829,            0.040715,            0.018226,           0.0038102,             0.00703,             0.00703,             0.00703
                  17,            0.047045,             0.03219,          0.00090683,             0.80692,             0.63993,             0.72148,               0.444,            0.040554,            0.018127,           0.0037116,            0.006832,            0.006832,            0.006832
                  18,            0.046778,            0.031976,          0.00088272,             0.78497,             0.64594,             0.71845,             0.44209,            0.040423,             0.01818,           0.0034328,            0.006634,            0.006634,            0.006634
                  19,            0.046725,            0.032008,          0.00087628,             0.82114,             0.63733,             0.71937,             0.44255,            0.040305,            0.018078,           0.0033001,            0.006436,            0.006436,            0.006436
                  20,            0.046467,            0.031634,          0.00089299,             0.80809,             0.64577,             0.72074,             0.44555,            0.039931,            0.018133,           0.0032888,            0.006238,            0.006238,            0.006238
                  21,            0.046279,            0.031825,          0.00082799,             0.81211,             0.64488,             0.71945,             0.44917,            0.039797,            0.018033,           0.0037606,             0.00604,             0.00604,             0.00604
                  22,            0.045839,            0.031599,           0.0007872,             0.81865,             0.64345,             0.72608,             0.45186,             0.03973,            0.017941,            0.002732,            0.005842,            0.005842,            0.005842
                  23,            0.045593,            0.031468,          0.00081854,             0.81727,             0.64585,             0.72854,             0.45405,            0.039655,            0.017921,           0.0024948,            0.005644,            0.005644,            0.005644
                  24,             0.04563,            0.031458,          0.00066815,             0.81057,             0.65728,             0.73162,             0.45706,            0.039588,            0.017831,           0.0030937,            0.005446,            0.005446,            0.005446
                  25,            0.045237,            0.030995,          0.00073472,             0.81859,             0.65585,             0.73017,             0.45588,            0.039459,            0.017835,           0.0028742,            0.005248,            0.005248,            0.005248
                  26,            0.045191,            0.031021,          0.00066149,             0.82284,             0.65069,             0.72941,             0.45823,            0.039322,            0.017813,           0.0025401,             0.00505,             0.00505,             0.00505
                  27,            0.045108,            0.031062,          0.00074386,             0.81652,             0.65583,             0.73326,             0.46121,            0.039309,            0.017795,           0.0030949,            0.004852,            0.004852,            0.004852
                  28,            0.045018,            0.031039,          0.00068102,             0.80189,              0.6606,             0.73434,             0.46131,            0.039239,            0.017776,           0.0029409,            0.004654,            0.004654,            0.004654
                  29,            0.044853,            0.030638,          0.00066653,             0.80821,             0.65849,             0.73585,             0.46409,            0.039036,            0.017716,           0.0030136,            0.004456,            0.004456,            0.004456
                  30,            0.044543,            0.030537,          0.00068148,             0.81666,             0.65591,             0.73535,             0.46487,            0.038944,            0.017662,           0.0030835,            0.004258,            0.004258,            0.004258
                  31,            0.044321,            0.030703,          0.00060836,             0.81227,             0.65693,             0.73519,             0.46551,            0.038884,            0.017644,           0.0031958,             0.00406,             0.00406,             0.00406
                  32,            0.043954,            0.030253,          0.00058051,             0.81823,             0.65635,             0.73567,             0.46516,            0.038859,            0.017643,           0.0032007,            0.003862,            0.003862,            0.003862
                  33,            0.043989,            0.030231,          0.00056009,             0.81863,             0.65408,             0.73474,              0.4655,            0.038785,            0.017644,           0.0033399,            0.003664,            0.003664,            0.003664
                  34,            0.043826,             0.03018,          0.00052138,             0.82543,             0.65132,             0.73543,             0.46561,            0.038737,            0.017649,           0.0033134,            0.003466,            0.003466,            0.003466
                  35,            0.043483,            0.029795,            0.000514,             0.82744,             0.65258,             0.73754,             0.46713,            0.038669,            0.017619,           0.0033733,            0.003268,            0.003268,            0.003268
                  36,            0.043406,            0.029799,          0.00049198,              0.8276,             0.65189,             0.73722,              0.4673,            0.038629,            0.017594,           0.0034005,             0.00307,             0.00307,             0.00307
                  37,            0.043027,            0.029432,           0.0004958,             0.82698,             0.65317,             0.73748,             0.46889,            0.038599,            0.017589,           0.0033633,            0.002872,            0.002872,            0.002872
                  38,            0.042945,            0.029465,          0.00051552,             0.82439,             0.65506,             0.73805,             0.46941,            0.038566,            0.017579,           0.0033718,            0.002674,            0.002674,            0.002674
                  39,            0.042761,            0.029368,          0.00043798,             0.82618,             0.65483,             0.73835,             0.47028,            0.038523,            0.017571,           0.0033565,            0.002476,            0.002476,            0.002476
                  40,            0.042569,            0.029304,          0.00043587,             0.83249,              0.6545,              0.7392,             0.47144,            0.038475,             0.01755,             0.00332,            0.002278,            0.002278,            0.002278
                  41,            0.042336,            0.028931,          0.00040511,             0.82992,             0.65619,             0.73908,             0.47216,            0.038436,            0.017536,           0.0033182,             0.00208,             0.00208,             0.00208
                  42,            0.042106,            0.029005,          0.00041369,             0.82682,              0.6579,             0.73909,             0.47247,            0.038411,            0.017527,           0.0033844,            0.001882,            0.001882,            0.001882
                  43,            0.042003,             0.02882,          0.00039833,             0.82642,             0.65796,             0.73927,             0.47302,            0.038388,            0.017519,            0.003396,            0.001684,            0.001684,            0.001684
                  44,             0.04176,            0.028686,          0.00034738,             0.82361,             0.66156,              0.7408,             0.47321,            0.038375,            0.017519,           0.0033925,            0.001486,            0.001486,            0.001486
                  45,            0.041854,            0.028461,          0.00035078,             0.82083,             0.66113,             0.74057,             0.47301,            0.038359,            0.017521,            0.003376,            0.001288,            0.001288,            0.001288
                  46,            0.041215,            0.028056,          0.00033376,             0.83238,             0.65543,             0.73967,             0.47361,            0.038345,            0.017526,            0.003361,             0.00109,             0.00109,             0.00109
                  47,            0.041223,            0.028183,          0.00033736,             0.82324,             0.65972,             0.73998,             0.47346,            0.038337,            0.017528,           0.0033511,            0.000892,            0.000892,            0.000892
                  48,             0.04104,            0.027905,          0.00033649,             0.82661,             0.65757,             0.73981,              0.4734,            0.038326,            0.017531,            0.003342,            0.000694,            0.000694,            0.000694
                  49,            0.040821,            0.027551,          0.00027619,             0.82818,             0.65611,             0.74017,             0.47344,            0.038315,            0.017535,           0.0033348,            0.000496,            0.000496,            0.000496
